pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,centroid,B_minus_A,tw41893,12,0.57661521148450456,positive
birdnet,centroid,B_minus_A,ty68001,12,0.25599262929630001,positive
birdnet,centroid,B_minus_A,ty68090,12,0.75583276372750063,positive
birdnet,centroid,B_minus_A,ty68169,12,0.44195481057736846,positive
birdnet,centroid,B_minus_A,ty68197,12,-0.10851869547521724,negative
birdnet,centroid,B_minus_A,ty68250,12,0.50994689542483662,positive
birdnet,centroid,B_minus_A,ty68256,12,0.51068678681086899,positive
birdnet,centroid,B_minus_A,ty68266,12,0.76106465345595764,positive
birdnet,centroid,B_minus_A,ty68269,12,0.97330447330447323,positive
birdnet,centroid,B_minus_A,ty68288,12,0.6624230412988994,positive
birdnet,centroid,B_minus_A,ty68290,12,0.48520851129546783,positive
birdnet,centroid,B_minus_A,ty68302,12,0.30710859388443296,positive
birdnet,centroid,B_minus_A,ty68314,12,0.26025396884688401,positive
birdnet,centroid,B_minus_A,ty68356,12,0.67583048616330343,positive
birdnet,centroid,B_minus_A,ty68365,12,0.77418410151076078,positive
birdnet,centroid,B_minus_A,ty68368,12,0.24725608761091022,positive
birdnet,centroid,B_minus_A,ty68410,12,0.82326417490891168,positive
birdnet,centroid,B_minus_A,ty68701,12,0.55891265046596328,positive
birdnet,centroid,B_minus_A,ty68797,12,0.79004959147979748,positive
birdnet,centroid,B_minus_A,ty68817,12,0.17082540838261664,positive
birdnet,centroid,B_minus_A,ty69095,12,0.18294203646370824,positive
birdnet,centroid,B_minus_A,ty69215,12,0.43213604028821423,positive
birdnet,centroid,B_minus_A,ty69216,12,0.590713708182249,positive
birdnet,centroid,B_minus_A,ty69429,12,0.12493781654324333,positive
birdnet,centroid,B_minus_A,ty69450,12,0.63209852140899392,positive
birdnet,centroid,B_minus_A,ty69456,12,0.68695183143523486,positive
birdnet,centroid,B_minus_A,ty69457,12,0.56849047781710316,positive
birdnet,centroid,B_minus_A,ty69479,12,0.12629141887437079,positive
birdnet,centroid,B_minus_A,ty69494,12,0.27809822997914435,positive
birdnet,centroid,B_minus_A,ty69500,12,0.94996392496392501,positive
birdnet,centroid,B_minus_A,ty70009,12,-0.19918318782566999,negative
birdnet,centroid,B_minus_A,ty70013,12,0.58690210431696499,positive
birdnet,centroid,B_minus_A,ty70023,12,0.49300526605001399,positive
birdnet,centroid,B_minus_A,ty70082,12,0.77141493928974558,positive
birdnet,centroid,B_minus_A,ty70093,12,0.5577005105702928,positive
birdnet,centroid,B_minus_A,ty70118,12,0.80645909645909641,positive
birdnet,centroid,B_minus_A,ty70233,12,0.58091561598885144,positive
birdnet,centroid,B_minus_A,ty70249,12,0.46760903791658737,positive
birdnet,centroid,B_minus_A,ty70291,12,0.1698269604287366,positive
birdnet,centroid,B_minus_A,ty70575,12,0.71105280474632571,positive
birdnet,centroid,B_minus_A,ty70701,12,0.034478557504873303,positive
birdnet,centroid,B_minus_A,ty70791,12,0.6615794903147667,positive
birdnet,centroid,B_minus_A,ty70988,12,0.25730681463073107,positive
birdnet,centroid,B_minus_A,vb55885,12,0.48708383672151784,positive
birdnet,centroid,B_minus_A,vs83969,12,0.55384857016048961,positive
birdnet,centroid,B_minus_A,vs84180,12,0.15554117361053177,positive
birdnet,centroid,B_minus_A,vs84238,12,0.56147634042370886,positive
birdnet,centroid,B_minus_A,vs84262,12,0.20749435606246749,positive
birdnet,centroid,B_minus_A,vz29416,12,0.72001066566283967,positive
birdnet,centroid,B_minus_A,vz29510,12,0.85600162402221891,positive
birdnet,centroid,B_minus_A,vz30799,12,0.83073606857090521,positive
birdnet,centroid,B_minus_A,vz31403,12,0.61023488758042532,positive
birdnet,centroid,B_minus_A,vz31410,12,0.82570177548247736,positive
birdnet,centroid,B_minus_A,vz31466,12,0,zero
birdnet,centroid,B_minus_A,vz31728,12,0.41841845197081645,positive
birdnet,centroid,B_minus_A,vz31742,12,0.34003440199092377,positive
birdnet,centroid,B_minus_A,vz31749,12,0.69312651921347568,positive
