panel,pipeline,readout,hyperparameter,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel006,perch,linear_frozen,10.0,0.9904072073164403,0.1827167602037103,0.9438391222544447,0.15940781125923,0.7844313109952147,0.7611223620507344
panel006,perch,mlp,0.01,0.9913495944368894,0.14300930203907894,0.9387021062202185,0.11625249343087468,0.8224496127893439,0.7956928041811396
panel007,perch,centroid_frozen,,0.7176190707122153,0.06962625247204239,0.6007876510889253,0.05068123201423742,0.5501064190746878,0.5311613986168829
panel007,perch,knn,1,0.9849794409558306,0.09586099411552958,0.9185103216429407,0.0545238000302284,0.8639865216127123,0.822649327527411
panel007,perch,linear_frozen,10.0,0.9952607375135657,0.22203903357139965,0.9614213134074048,0.1753220679602048,0.7860992454472,0.7393822798360051
panel007,perch,mlp,0.01,0.9961430054888,0.18228900601741824,0.9530546327987063,0.14146507916283774,0.8115895536358686,0.770765626781288
panel008,perch,centroid_frozen,,0.6172505537300224,0.057312583398452056,0.5636596056874168,0.048368235466325696,0.5152913702210911,0.5063470222889648
panel008,perch,knn,1,0.9850614216083965,0.05091067655448598,0.9082790647241592,0.05980621449666181,0.8484728502274974,0.8573683881696732
panel008,perch,linear_frozen,10.0,1.0,0.19376056490404261,0.9356843780744559,0.16114362169541724,0.7745407563790387,0.7419238131704133
panel008,perch,mlp,0.01,0.9981261565127771,0.14137982751616113,0.9414173573681259,0.11671509151091432,0.8247022658572116,0.8000375298519649
panel009,perch,centroid_frozen,,0.6306674996677395,0.07386619032830181,0.5701607316579774,0.07594832142874482,0.4942124102292326,0.4962945413296756
panel009,perch,knn,1,0.9775426955948353,0.07786734160702605,0.9098946843770048,0.06057713373651984,0.849317550640485,0.8320273427699788
panel009,perch,linear_frozen,10.0,0.9952607375135659,0.21685322770332574,0.9430199274377683,0.16317500679365626,0.779844920644112,0.7261666997344426
panel009,perch,mlp,0.01,0.9961976592571773,0.17094815174040423,0.9477994098129195,0.13796653395112538,0.8098328758617942,0.7768512580725153
panel010,perch,centroid_frozen,,0.6487241074081971,0.05655194757060687,0.6019316911638407,0.05088991094893702,0.5510417802149037,0.5453797435932338
panel010,perch,knn,1,0.9860035711037658,0.07190744741122933,0.9276235285198013,0.05737510758086572,0.8702484209389356,0.855716081108572
panel010,perch,linear_frozen,10.0,0.9981261565127771,0.20059812090448306,0.9599349493391282,0.1524635027637242,0.8074714465754039,0.7593368284346451
panel010,perch,mlp,0.01,0.9971892347691659,0.16464312928306932,0.9599170873396157,0.1267174923967596,0.8331995949428561,0.7952739580565463
panel011,perch,centroid_frozen,,0.7008676515471597,0.08489446274762584,0.5836609497159095,0.06111656220358364,0.5225443875123259,0.4987664869682837
panel011,perch,knn,1,0.982162287622199,0.08058675029724748,0.8863548300834252,0.0652894340019712,0.821065396081454,0.8057680797861777
panel011,perch,linear_frozen,1.0,0.9981261565127771,0.24331504958179984,0.9384466984073476,0.2010876262508541,0.7373590721564935,0.6951316488255478
panel011,perch,mlp,0.01,0.9971345810007886,0.19524695514655904,0.9275127750127217,0.15712061762375712,0.7703921573889645,0.7322658198661627
panel012,perch,centroid_frozen,,0.6944983702256081,0.09350912279142697,0.6103581673163629,0.08113264603227627,0.5292255212840866,0.516849044524936
panel012,perch,knn,1,0.9803134287148061,0.06718091694570799,0.904726148278003,0.0573587934730242,0.8473673548049788,0.8375452313322951
panel012,perch,linear_frozen,10.0,0.9953177335863022,0.1950081628467159,0.9660333456805795,0.19000614515980446,0.7760272005207751,0.7710251828338637
panel012,perch,mlp,0.01,0.988560728653545,0.17972605555041962,0.9561491982396798,0.15714755129957544,0.7990016469401043,0.7764231426892602
