panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel010,birdnet,1,107,10.0,0.9881672131685857,0.9952607375135659,0.7085291608788109,0.9413835557508434,0.48769744145715804,0.4536861142936854,0.23285439487203252
panel010,birdnet,2,213,100.0,0.9887595088340561,0.9962381172415603,0.8331008474560894,0.9393951907738496,0.6236120823742868,0.3157831083995628,0.10629434331776022
panel010,birdnet,5,526,10.0,0.9892438132717689,0.9971892347691659,0.9549979565269481,0.9404328369577588,0.7933495744269196,0.14708326253083925,-0.014565119569189267
panel010,birdnet,10,1024,10.0,0.9920009742654082,0.9962523130255545,0.9708540353746119,0.9405391752515868,0.8405668560598785,0.09997231919170835,-0.03031486012302509
panel010,birdnet,20,1990,10.0,0.9916875921975361,0.9962381172415603,0.9876988563166624,0.9372173792053954,0.8773630164520468,0.059854362753348545,-0.05048147711126705
panel010,birdnet,0,0,100.0,,0.9962381172415603,0.32739476714154486,0.9407818119370974,0.20628822622833298,0.7344935857087644,0.6133870447955525
panel011,birdnet,1,107,10.0,0.9890054177834188,0.9990630782563886,0.7141909223936446,0.9290454638788508,0.5265648669205685,0.4024805969582823,0.21485454148520622
panel011,birdnet,2,213,10.0,0.9891116415931902,0.9990630782563886,0.8461867226113997,0.9257287815196311,0.6670586759408329,0.2586701055787982,0.0795420589082314
panel011,birdnet,5,529,10.0,0.990511340230903,0.9990630782563886,0.9484468810108705,0.9284734669794229,0.8137518390335133,0.11472162794590957,-0.01997341403144759
panel011,birdnet,10,1041,10.0,0.991374555761144,0.9990630782563886,0.9762737595149852,0.9271450480046544,0.8733034242339821,0.05384162377067225,-0.049128711510330825
panel011,birdnet,20,2014,10.0,0.9917302223063116,0.9990630782563886,0.9859814585589303,0.9296161443912175,0.9140708893002925,0.01554525509092508,-0.05636531416771273
panel011,birdnet,0,0,1.0,,0.9990630782563886,0.35097856610967226,0.9269033243726381,0.24340052343678625,0.6835028009358519,0.5759247582629659
panel012,birdnet,1,107,1.0,0.9875656115044625,0.9943642737543376,0.6551308175822601,0.9550637266442843,0.516845756053613,0.43821797059067125,0.2999329090620242
panel012,birdnet,2,213,100.0,0.9881200914654622,0.9924904302671149,0.8426024861034384,0.9409298877326423,0.6770167176268267,0.2639131701058156,0.09832740162920395
panel012,birdnet,5,524,10.0,0.9898112983199885,0.9934273520107263,0.9399505211883576,0.9480033655924929,0.8126530314566716,0.13535033413582132,0.008052844404135229
panel012,birdnet,10,1008,10.0,0.9902157084289618,0.9953011954979492,0.9569092436007647,0.9452680570558475,0.8651260842415341,0.08014197281431334,-0.011641186544917193
panel012,birdnet,20,1907,10.0,0.9922144609246464,0.9934273520107263,0.964665784485687,0.94142048849076,0.8910612576113902,0.050359230879369776,-0.023245295994926973
panel012,birdnet,0,0,1.0,,0.9943666160586967,0.296174710722524,0.9516162258602531,0.24981350403886152,0.7018027218213916,0.6554415151377291
panel001,perch,1,107,10.0,0.9833688168809802,0.9990630782563886,0.5273579251193447,0.9347542547955052,0.42263244682518186,0.5121218079703234,0.4073963296761606
panel001,perch,2,212,1.0,0.981156564990626,1.0,0.7001978819459951,0.9345980300320641,0.5614009765223386,0.37319705350972554,0.23440014808606902
panel001,perch,5,527,10.0,0.984711772685813,0.9990630782563887,0.8904719701140146,0.9346901915724777,0.76733676195301,0.16735342961946764,0.0442182214584631
panel001,perch,10,1040,10.0,0.9869675490148442,1.0,0.9427317457690975,0.9351346059787216,0.8386931557458553,0.09644145023286621,-0.007597139790375906
panel001,perch,20,2016,1.0,0.9867525003888847,0.9981261565127771,0.9773438919904589,0.9279255498357704,0.880793842265058,0.04713170757071239,-0.049418342154688544
panel001,perch,0,0,1.0,,0.9990630782563886,0.2230767135006257,0.9373245682571474,0.1493841549196783,0.7879404133374691,0.7142478547565216
panel002,perch,1,107,10.0,0.9855691136242977,0.9923932977027505,0.49817105282542107,0.9473114766117182,0.4282025595472494,0.5191089170644688,0.44914042378629715
panel002,perch,2,214,1.0,0.9837969797419335,0.9903889396388167,0.6978694953197361,0.9378591262199877,0.593694234958416,0.3441648912615717,0.2399896309002516
panel002,perch,5,531,10.0,0.9849581967549748,0.9922627831260393,0.8840427372165081,0.9498221123860149,0.7785018776409094,0.1713202347451055,0.06577937516950683
panel002,perch,10,1032,10.0,0.9863215654969064,0.9912702316539012,0.955040620555155,0.9411715819382792,0.8627238389461894,0.07844774299208979,-0.013869038616875828
panel002,perch,20,1982,1.0,0.9864026042139938,0.9912678893495421,0.9857840416547579,0.9446875070245013,0.9045338389085047,0.04015366811599663,-0.04109653463025653
panel002,perch,0,0,1.0,,0.9913258613824281,0.2309286773532461,0.9485947620723812,0.19270169244549998,0.7558930696268813,0.7176660847191352
panel003,perch,1,107,1.0,0.9838465730458983,0.9934273520107264,0.4942993307219654,0.9387748722575738,0.3281653360585196,0.6106095361990542,0.4444755415356084
panel003,perch,2,211,10.0,0.9821777911185521,0.9943238157699544,0.7293830623946121,0.945227940723635,0.5203763836781237,0.42485155704551136,0.21584487832902288
panel003,perch,5,522,1.0,0.9833901048629009,0.9952607375135659,0.8708679400119913,0.936276315793628,0.7078488874671539,0.2284274283264741,0.06540837578163672
panel003,perch,10,1015,1.0,0.9846526223604425,0.9915535085235037,0.9349516106538032,0.942955768066442,0.7861559227606745,0.15679984530576752,0.008004157412638824
panel003,perch,20,1917,10.0,0.9861001126379808,0.9943238157699544,0.9708145518248134,0.9369035287350478,0.845306960722741,0.09159656801230676,-0.03391102308976557
panel003,perch,0,0,10.0,,0.9953153912819432,0.20291013864761503,0.948803350897586,0.13565606143341072,0.8131472894641754,0.7458932122499711
panel004,perch,1,107,10.0,0.9858842096410028,0.9895811845985641,0.5586401322039768,0.9395187179781276,0.40958028966358,0.5299384283145476,0.3808785857741508
panel004,perch,2,214,10.0,0.9842768295140605,0.9924494590924332,0.7100170390762235,0.9383073358130064,0.5872379002017156,0.3510694356112908,0.22829029673678292
panel004,perch,5,533,10.0,0.9848068144847915,0.9905590775168573,0.8910032437469085,0.9329354717985785,0.7338584820360161,0.19907698976256238,0.04193222805166996
panel004,perch,10,1038,1.0,0.9858274657851723,0.992251809939314,0.9565652774377298,0.9321185103811663,0.8270642841923395,0.10505422618882687,-0.024446767056563456
