panel,pipeline,readout,contrast,endpoint_role,estimate,panel_ci_low_not_plotted,panel_ci_high_not_plotted,positive,config_mean,conditional_ci_low,conditional_ci_high,n_panels,n_birds,bootstrap_draws,conditioning,source_panel_csv_sha256,source_conditional_csv_sha256
panel010,perch,linear,B_minus_C,co_primary,0.80747144657540382,0.75764307341672077,0.85557131804146735,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,perch,linear,B_minus_C,co_primary,0.73735907215649366,0.67990481591678109,0.7927418665395205,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel012,perch,linear,B_minus_C,co_primary,0.7760272005207749,0.72206339550010779,0.82597921738259117,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel001,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.46098998681484077,0.37475421777501555,0.5454362849530473,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.51053561095695354,0.42353020606731401,0.59543247008240308,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.58505790018488013,0.50243575118814021,0.66346590566224373,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.50452891814053802,0.42765762447097738,0.57860154200975678,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.52620125578888277,0.45578190057022439,0.59681348255515476,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.57353694460200699,0.49786113006733557,0.64738165194460495,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.56821434734105247,0.49041952858774168,0.6420156029558024,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
